Date,High
02-01-2020,75.15
03-01-2020,75.15
06-01-2020,74.99
07-01-2020,75.22
08-01-2020,76.11
09-01-2020,77.61
10-01-2020,78.17
13-01-2020,79.27
14-01-2020,79.39
15-01-2020,78.88
16-01-2020,78.93
17-01-2020,79.69
21-01-2020,79.76
22-01-2020,80
23-01-2020,79.89
24-01-2020,80.83
27-01-2020,77.94
28-01-2020,79.6
29-01-2020,81.96
30-01-2020,81.02
31-01-2020,80.67
03-02-2020,78.37
04-02-2020,79.91
05-02-2020,81.19
06-02-2020,81.31
07-02-2020,80.85
10-02-2020,80.39
11-02-2020,80.97
12-02-2020,81.81
13-02-2020,81.56
14-02-2020,81.5
18-02-2020,79.94
19-02-2020,81.14
20-02-2020,81.16
21-02-2020,80.11
24-02-2020,76.05
25-02-2020,75.63
26-02-2020,74.47
27-02-2020,71.5
28-02-2020,69.6
02-03-2020,75.36
03-03-2020,76
04-03-2020,75.85
05-03-2020,74.89
06-03-2020,72.71
09-03-2020,69.52
10-03-2020,71.61
11-03-2020,70.31
12-03-2020,67.5
13-03-2020,69.98
16-03-2020,64.77
17-03-2020,64.4
18-03-2020,62.5
19-03-2020,63.21
20-03-2020,62.96
23-03-2020,57.12
24-03-2020,61.92
25-03-2020,64.56
26-03-2020,64.67
27-03-2020,63.97
30-03-2020,63.88
31-03-2020,65.62
01-04-2020,62.18
02-04-2020,61.29
03-04-2020,61.43
06-04-2020,65.78
07-04-2020,67.93
08-04-2020,66.84
09-04-2020,67.52
13-04-2020,68.43
14-04-2020,72.06
15-04-2020,71.58
16-04-2020,72.05
17-04-2020,71.74
20-04-2020,70.42
21-04-2020,69.31
22-04-2020,69.47
23-04-2020,70.44
24-04-2020,70.75
27-04-2020,71.14
28-04-2020,71.46
29-04-2020,72.42
30-04-2020,73.63
01-05-2020,74.75
04-05-2020,73.42
05-05-2020,75.25
06-05-2020,75.81
07-05-2020,76.29
08-05-2020,77.59
11-05-2020,79.26
12-05-2020,79.92
13-05-2020,78.99
14-05-2020,77.45
15-05-2020,76.97
18-05-2020,79.13
19-05-2020,79.63
20-05-2020,79.88
21-05-2020,80.22
22-05-2020,79.81
26-05-2020,81.06
27-05-2020,79.68
28-05-2020,80.86
29-05-2020,80.29
01-06-2020,80.59
02-06-2020,80.86
03-06-2020,81.55
04-06-2020,81.41
05-06-2020,82.94
08-06-2020,83.4
09-06-2020,86.4
10-06-2020,88.69
11-06-2020,87.77
12-06-2020,86.95
15-06-2020,86.42
16-06-2020,88.3
17-06-2020,88.85
18-06-2020,88.36
19-06-2020,89.14
22-06-2020,89.87
23-06-2020,93.1
24-06-2020,92.2
25-06-2020,91.25
26-06-2020,91.33
29-06-2020,90.54
30-06-2020,91.5
01-07-2020,91.84
02-07-2020,92.62
06-07-2020,93.95
07-07-2020,94.66
08-07-2020,95.38
09-07-2020,96.32
10-07-2020,95.98
13-07-2020,99.96
14-07-2020,97.26
15-07-2020,99.25
16-07-2020,97.41
17-07-2020,97.15
20-07-2020,98.5
21-07-2020,99.25
22-07-2020,97.98
23-07-2020,97.08
24-07-2020,92.97
27-07-2020,94.91
28-07-2020,94.55
29-07-2020,95.23
30-07-2020,96.3
31-07-2020,106.42
03-08-2020,111.64
04-08-2020,110.79
05-08-2020,110.39
06-08-2020,114.41
07-08-2020,113.68
10-08-2020,113.78
11-08-2020,112.48
12-08-2020,113.28
13-08-2020,116.04
14-08-2020,115
17-08-2020,116.09
18-08-2020,116
19-08-2020,117.16
20-08-2020,118.39
21-08-2020,124.87
24-08-2020,128.79
25-08-2020,125.18
26-08-2020,126.99
27-08-2020,127.49
28-08-2020,126.44
31-08-2020,131
01-09-2020,134.8
02-09-2020,137.98
03-09-2020,128.84
04-09-2020,123.7
08-09-2020,118.99
09-09-2020,119.14
10-09-2020,120.5
11-09-2020,115.23
14-09-2020,115.93
15-09-2020,118.83
16-09-2020,116
17-09-2020,112.2
18-09-2020,110.88
21-09-2020,110.19
22-09-2020,112.86
23-09-2020,112.11
24-09-2020,110.25
25-09-2020,112.44
28-09-2020,115.32
29-09-2020,115.31
30-09-2020,117.26
01-10-2020,117.72
02-10-2020,115.37
05-10-2020,116.65
06-10-2020,116.12
07-10-2020,115.55
08-10-2020,116.4
09-10-2020,117
12-10-2020,125.18
13-10-2020,125.39
14-10-2020,123.03
15-10-2020,121.2
16-10-2020,121.55
19-10-2020,120.42
20-10-2020,118.98
21-10-2020,118.71
22-10-2020,118.04
23-10-2020,116.55
26-10-2020,116.55
27-10-2020,117.28
28-10-2020,115.43
29-10-2020,116.93
30-10-2020,111.99
02-11-2020,110.68
03-11-2020,111.49
04-11-2020,115.59
05-11-2020,119.62
06-11-2020,119.2
09-11-2020,121.99
10-11-2020,117.59
11-11-2020,119.63
12-11-2020,120.53
13-11-2020,119.67
16-11-2020,120.99
17-11-2020,120.67
18-11-2020,119.82
19-11-2020,119.06
20-11-2020,118.77
23-11-2020,117.62
24-11-2020,115.85
25-11-2020,116.75
27-11-2020,117.49
30-11-2020,120.97
01-12-2020,123.47
02-12-2020,123.37
03-12-2020,123.78
04-12-2020,122.86
07-12-2020,124.57
08-12-2020,124.98
09-12-2020,125.95
10-12-2020,123.87
11-12-2020,122.76
14-12-2020,123.35
15-12-2020,127.9
16-12-2020,128.37
17-12-2020,129.58
18-12-2020,129.1
21-12-2020,128.31
22-12-2020,134.41
23-12-2020,132.43
24-12-2020,133.46
28-12-2020,137.34
29-12-2020,138.79
30-12-2020,135.99
31-12-2020,134.74
04-01-2021,133.61
05-01-2021,131.74
06-01-2021,131.05
07-01-2021,131.63
08-01-2021,132.63
11-01-2021,130.17
12-01-2021,129.69
13-01-2021,131.45
14-01-2021,131
15-01-2021,130.22
19-01-2021,128.71
20-01-2021,132.49
21-01-2021,139.67
22-01-2021,139.85
25-01-2021,145.09
26-01-2021,144.3
27-01-2021,144.3
28-01-2021,141.99
29-01-2021,136.74
01-02-2021,135.38
02-02-2021,136.31
03-02-2021,135.77
04-02-2021,137.4
05-02-2021,137.42
08-02-2021,136.96
09-02-2021,137.88
10-02-2021,136.99
11-02-2021,136.39
12-02-2021,135.53
16-02-2021,136.01
17-02-2021,132.22
18-02-2021,130
19-02-2021,130.71
22-02-2021,129.72
23-02-2021,126.71
24-02-2021,125.56
25-02-2021,126.46
26-02-2021,124.85
01-03-2021,127.93
02-03-2021,128.72
03-03-2021,125.71
04-03-2021,123.6
05-03-2021,121.94
08-03-2021,121
09-03-2021,122.06
10-03-2021,122.17
11-03-2021,123.21
12-03-2021,121.17
15-03-2021,124
16-03-2021,127.22
17-03-2021,125.86
18-03-2021,123.18
19-03-2021,121.43
22-03-2021,123.87
23-03-2021,124.24
24-03-2021,122.9
25-03-2021,121.66
26-03-2021,121.48
29-03-2021,122.58
30-03-2021,120.4
31-03-2021,123.52
01-04-2021,124.18
05-04-2021,126.16
06-04-2021,127.13
07-04-2021,127.92
08-04-2021,130.39
09-04-2021,133.04
12-04-2021,132.85
13-04-2021,134.66
14-04-2021,135
15-04-2021,135
16-04-2021,134.67
19-04-2021,135.47
20-04-2021,135.53
21-04-2021,133.75
22-04-2021,134.15
23-04-2021,135.12
26-04-2021,135.06
27-04-2021,135.41
28-04-2021,135.02
29-04-2021,137.07
30-04-2021,133.56
